Weather_Condition,Road_Type,Road_Condition,Speed_Limit,Time_of_Day,Vehicle_Type,Driver_Age,State,City,Accident_Severity
Rain,Rural Road,Normal,55,Morning,Car,16.0,Delhi,New Delhi,Severe
Fog,Highway,Normal,100,Evening,Car,37.0,Karnataka,Bengaluru,Fatal
Rain,City Street,Potholes,60,Morning,Motorcycle,52.0,Maharashtra,Mumbai,Fatal
Rain,Rural Road,Hill Area,120,Night,Car,17.0,Tamil Nadu,Salem,Fatal
Clear,City Street,Normal,60,Morning,Motorcycle,27.0,Tamil Nadu,Coimbatore,Moderate
Rain,Rural Road,Potholes,90,Morning,Bus,38.0,Uttar Pradesh,Balrampur,Severe
Clear,Highway,Wet,100,Afternoon,Truck,50.0,Delhi,North Delhi,Severe
Rain,Highway,Normal,80,Evening,Car,29.0,Uttar Pradesh,Auraiya,Severe
Clear,City Street,Hill Area,80,Evening,Motorcycle,26.0,Karnataka,Mysuru,Fatal
Snow,Rural Road,Normal,120,Night,Bus,16.0,Delhi,East Delhi,Fatal
Fog,Rural Road,Wet,90,Morning,Truck,36.0,Delhi,Shahdara,Severe
Clear,City Street,Potholes,25,Night,Car,59.0,Haryana,Faridabad,Moderate
Clear,Rural Road,Normal,120,Morning,Car,38.0,Uttar Pradesh,Basti,Moderate
Rain,Highway,Normal,70,Afternoon,Motorcycle,34.0,Maharashtra,Nashik,Fatal
Fog,Highway,Wet,150,Morning,Motorcycle,38.0,Uttar Pradesh,Kanpur Nagar,Fatal
Clear,Rural Road,Hill Area,55,Morning,Bus,34.0,Tamil Nadu,Chennai,Severe
Clear,City Street,Wet,30,Morning,Car,25.0,Haryana,Bhiwani,Minor
Clear,Rural Road,Normal,35,Night,Motorcycle,44.0,Delhi,South East Delhi,Severe
Snow,Rural Road,Hill Area,35,Morning,Car,37.0,Uttar Pradesh,Saharanpur,Severe
Clear,Rural Road,Wet,55,Evening,Bus,35.0,Tamil Nadu,Madurai,Minor
Snow,Highway,Hill Area,150,Morning,Motorcycle,23.0,Tamil Nadu,Chennai,Fatal
Fog,City Street,Potholes,80,Night,Bus,50.0,Tamil Nadu,Coimbatore,Fatal
Clear,City Street,Potholes,30,Afternoon,Motorcycle,42.0,Delhi,North East Delhi,Moderate
Snow,Rural Road,Potholes,55,Night,Bus,28.0,Karnataka,Mysuru,Moderate
Snow,City Street,Hill Area,30,Night,Car,47.0,Tamil Nadu,Madurai,Fatal
Clear,City Street,Potholes,25,Night,Truck,29.0,Tamil Nadu,Salem,Moderate
Snow,Rural Road,Hill Area,70,Evening,Car,25.0,Haryana,Yamunanagar,Severe
Fog,City Street,Normal,80,Morning,Bus,25.0,Karnataka,Mysuru,Moderate
Fog,Highway,Wet,220,Evening,Truck,16.0,Maharashtra,Nashik,Fatal
Fog,Rural Road,Normal,45,Morning,Bus,40.0,Maharashtra,Nashik,Moderate
Fog,Rural Road,Potholes,70,Morning,Truck,16.0,Delhi,North West Delhi,Severe
Rain,Highway,Wet,80,Evening,Truck,,Maharashtra,Pune,Fatal
Rain,City Street,Hill Area,80,Morning,Car,16.0,Tamil Nadu,Madurai,Fatal
Fog,Highway,Hill Area,120,Afternoon,Car,33.0,Maharashtra,Mumbai,Fatal
Clear,Rural Road,Potholes,45,Afternoon,Motorcycle,33.0,Haryana,Charkhi Dadri,Moderate
Snow,City Street,Hill Area,35,Morning,Motorcycle,31.0,Tamil Nadu,Coimbatore,Fatal
Rain,Highway,Wet,70,Morning,Car,22.0,Tamil Nadu,Chennai,Fatal
Snow,Rural Road,Wet,55,Morning,Motorcycle,20.0,Uttar Pradesh,Baghpat,Fatal
Fog,Rural Road,Wet,70,Evening,Truck,40.0,Uttar Pradesh,Pilibhit,Moderate
Snow,Highway,Wet,80,Morning,Car,28.0,Karnataka,Mysuru,Severe
Rain,City Street,Normal,60,Morning,Car,38.0,Delhi,West Delhi,Minor
Rain,City Street,Wet,30,Night,Motorcycle,24.0,Karnataka,Hubli,Fatal
Snow,Rural Road,Hill Area,70,Night,Motorcycle,37.0,Maharashtra,Pune,Fatal
Snow,Rural Road,Wet,55,Afternoon,Bus,50.0,Uttar Pradesh,Budaun,Moderate
Snow,Rural Road,Wet,35,Afternoon,Motorcycle,42.0,Haryana,Karnal,Severe
Fog,Rural Road,Wet,55,Morning,Motorcycle,30.0,Delhi,North Delhi,Fatal
Snow,Highway,Wet,200,Night,Truck,38.0,Delhi,North East Delhi,Fatal
Fog,City Street,Hill Area,60,Night,Car,32.0,Tamil Nadu,Coimbatore,Fatal
Snow,City Street,Hill Area,45,Morning,Truck,35.0,Delhi,West Delhi,Severe
Rain,Highway,Wet,65,Night,Motorcycle,31.0,Tamil Nadu,Coimbatore,Fatal
Rain,City Street,Wet,80,Morning,Car,33.0,Karnataka,Mangaluru,Moderate
Snow,City Street,Wet,25,Morning,Car,37.0,Delhi,Shahdara,Moderate
Snow,City Street,Wet,35,Night,Motorcycle,23.0,Maharashtra,Nashik,Fatal
,Highway,Normal,120,Night,Car,22.0,Delhi,West Delhi,Fatal
Rain,Highway,Potholes,200,Night,Truck,18.0,Tamil Nadu,Salem,Fatal
Clear,Highway,Normal,100,Afternoon,Motorcycle,16.0,Haryana,Kaithal,Fatal
Snow,Rural Road,Potholes,90,Night,Car,20.0,Uttar Pradesh,Shamli,Fatal
Fog,Rural Road,Hill Area,90,Morning,Truck,36.0,Delhi,North West Delhi,Fatal
Fog,Rural Road,Potholes,90,Afternoon,Bus,24.0,Karnataka,Mysuru,Moderate
Fog,City Street,Normal,30,Afternoon,Truck,41.0,Delhi,New Delhi,Moderate
Rain,Rural Road,Potholes,55,Evening,Car,35.0,Karnataka,Bengaluru,Severe
Rain,Rural Road,Normal,55,Evening,Truck,16.0,Karnataka,Hubli,Moderate
Fog,Rural Road,Hill Area,45,Evening,Car,42.0,Karnataka,Bengaluru,Fatal
Fog,City Street,Potholes,45,Night,Car,44.0,Delhi,West Delhi,Severe
Rain,Highway,Wet,70,Morning,Truck,23.0,Uttar Pradesh,Shravasti,Severe
Rain,Rural Road,Hill Area,70,Afternoon,Bus,40.0,Tamil Nadu,Madurai,Severe
Fog,City Street,Wet,80,Afternoon,Truck,24.0,Delhi,North East Delhi,Severe
Fog,Rural Road,Wet,35,Morning,Bus,36.0,Karnataka,Hubli,Moderate
Snow,Highway,Normal,80,Afternoon,Truck,19.0,Maharashtra,Nagpur,Fatal
Snow,Rural Road,Normal,35,Morning,Motorcycle,16.0,Karnataka,Mangaluru,Severe
Snow,Highway,Normal,200,Morning,Bus,30.0,Uttar Pradesh,Ghaziabad,Fatal
Fog,Rural Road,Normal,120,Evening,Truck,33.0,Karnataka,Mangaluru,Severe
Clear,Rural Road,Hill Area,90,Evening,Motorcycle,30.0,Maharashtra,Nagpur,Fatal
Rain,Highway,Wet,150,Night,Truck,20.0,Delhi,North Delhi,Fatal
Fog,City Street,Hill Area,45,Afternoon,Bus,30.0,Karnataka,Hubli,Severe
Fog,City Street,Potholes,25,Afternoon,Motorcycle,38.0,Tamil Nadu,Salem,Severe
Snow,Highway,Hill Area,80,Evening,Car,34.0,Tamil Nadu,Madurai,Fatal
Snow,Highway,Hill Area,55,Night,Truck,37.0,Haryana,Hisar,Fatal
Fog,Highway,Potholes,65,Morning,Car,26.0,Delhi,East Delhi,Severe
Clear,City Street,Potholes,80,Morning,Motorcycle,49.0,Maharashtra,Pune,Fatal
Fog,City Street,Hill Area,25,Afternoon,Car,20.0,Maharashtra,Mumbai,Fatal
Fog,Highway,Hill Area,100,Evening,Bus,40.0,Uttar Pradesh,Prayagraj,Fatal
Snow,City Street,Wet,45,Morning,Bus,49.0,Karnataka,Hubli,Moderate
Fog,City Street,Wet,30,Morning,Bus,40.0,Delhi,Central Delhi,Moderate
Fog,Highway,Hill Area,55,Evening,Truck,32.0,Uttar Pradesh,Chitrakoot,Fatal
Fog,Rural Road,Hill Area,35,Afternoon,Motorcycle,28.0,Maharashtra,Nashik,Fatal
Snow,Rural Road,Hill Area,35,Afternoon,Truck,47.0,Karnataka,Hubli,Severe
Clear,Rural Road,Potholes,45,Evening,Car,17.0,Karnataka,Hubli,Minor
Fog,Highway,Hill Area,65,Evening,Bus,23.0,Tamil Nadu,Salem,Fatal
Snow,Rural Road,Hill Area,70,Afternoon,Motorcycle,30.0,Tamil Nadu,Salem,Fatal
Rain,Rural Road,Wet,35,Night,Motorcycle,49.0,Maharashtra,Nashik,Fatal
Fog,Highway,Wet,120,Night,Bus,39.0,Karnataka,Hubli,Fatal
Snow,Rural Road,Potholes,90,Night,Bus,23.0,Karnataka,Mangaluru,Fatal
Fog,Rural Road,Normal,55,Evening,Motorcycle,31.0,Uttar Pradesh,Ghaziabad,Severe
Snow,City Street,Normal,30,Afternoon,Motorcycle,27.0,Delhi,North West Delhi,Severe
Fog,Highway,Normal,100,Evening,Bus,26.0,Maharashtra,Pune,Fatal
Clear,Highway,Hill Area,200,Evening,Motorcycle,46.0,Tamil Nadu,Chennai,Fatal
Snow,Highway,Wet,70,Afternoon,Motorcycle,18.0,Karnataka,Mysuru,Fatal
Rain,City Street,Hill Area,25,Evening,Car,54.0,Uttar Pradesh,Hapur,Severe
Rain,City Street,Wet,25,Morning,Motorcycle,44.0,Delhi,North West Delhi,Severe
Rain,Highway,Potholes,70,Morning,Motorcycle,48.0,Delhi,Central Delhi,Fatal
Snow,Rural Road,Wet,55,Night,Bus,29.0,Haryana,Hisar,Severe
Fog,City Street,Hill Area,30,Evening,Bus,,Karnataka,Bengaluru,Fatal
Rain,City Street,Wet,60,Night,Motorcycle,17.0,Delhi,North West Delhi,Fatal
Clear,Rural Road,Potholes,45,Morning,Car,28.0,Delhi,Central Delhi,Minor
Fog,Highway,Hill Area,100,Morning,Motorcycle,40.0,Delhi,Shahdara,Fatal
Fog,City Street,Hill Area,45,Afternoon,Truck,50.0,Haryana,Ambala,Severe
Snow,City Street,Wet,35,Evening,Bus,21.0,Uttar Pradesh,Kushinagar,Moderate
Rain,City Street,Normal,30,Evening,Truck,30.0,Karnataka,Bengaluru,Moderate
Clear,Rural Road,Hill Area,35,Night,Motorcycle,33.0,Karnataka,Hubli,Fatal
,Rural Road,Normal,35,Afternoon,Truck,18.0,Haryana,Mahendragarh,Minor
Clear,Highway,Wet,220,Night,Bus,42.0,Maharashtra,Nagpur,Fatal
Clear,Rural Road,Wet,35,Afternoon,Bus,26.0,Karnataka,Hubli,Minor
Clear,City Street,Normal,25,Morning,Bus,32.0,Uttar Pradesh,Lakhimpur Kheri,Minor
Fog,City Street,Normal,60,Night,Car,29.0,Karnataka,Mysuru,Moderate
Fog,Rural Road,Potholes,90,Afternoon,Car,25.0,Haryana,Jind,Severe
Fog,Highway,Hill Area,100,Evening,Motorcycle,34.0,Uttar Pradesh,Agra,Fatal
Rain,City Street,Wet,45,Morning,Car,32.0,Haryana,Faridabad,Minor
Fog,City Street,Wet,80,Morning,Bus,30.0,Karnataka,Mangaluru,Severe
Snow,City Street,Normal,30,Evening,Truck,26.0,Delhi,North Delhi,Minor
Fog,Rural Road,Potholes,45,Night,Car,38.0,Uttar Pradesh,Kanpur Nagar,Severe
Clear,Highway,Potholes,70,Afternoon,Truck,54.0,Uttar Pradesh,Amethi,Severe
Fog,Highway,Wet,150,Morning,Truck,36.0,Haryana,Kurukshetra,Fatal
Snow,Highway,Wet,120,Morning,Bus,46.0,Tamil Nadu,Chennai,Fatal
Clear,Highway,Hill Area,70,Afternoon,Truck,18.0,Delhi,East Delhi,Fatal
Rain,Highway,Potholes,80,Morning,Car,36.0,Maharashtra,Pune,Fatal
Rain,Rural Road,Normal,90,Night,Truck,21.0,Delhi,North East Delhi,Severe
Clear,Rural Road,Wet,120,Morning,Motorcycle,17.0,Maharashtra,Nagpur,Fatal
Rain,Rural Road,Potholes,45,Night,Bus,26.0,Tamil Nadu,Salem,Moderate
Snow,Rural Road,Potholes,55,Evening,Truck,49.0,Tamil Nadu,Chennai,Severe
Rain,City Street,Wet,30,Afternoon,Truck,46.0,Karnataka,Mangaluru,Moderate
Clear,Rural Road,Potholes,120,Afternoon,Motorcycle,37.0,Maharashtra,Nashik,Fatal
Clear,City Street,Potholes,25,Morning,Truck,16.0,Delhi,South East Delhi,Moderate
Snow,City Street,Potholes,35,Night,Bus,32.0,Delhi,West Delhi,Severe
Snow,Rural Road,Potholes,90,Morning,Motorcycle,38.0,Uttar Pradesh,Ambedkar Nagar,Fatal
Snow,City Street,Hill Area,25,Evening,Car,37.0,Haryana,Karnal,Severe
Fog,Rural Road,Potholes,55,Evening,Motorcycle,16.0,Tamil Nadu,Coimbatore,Fatal
Clear,Highway,Wet,100,Afternoon,Bus,24.0,Karnataka,Mangaluru,Severe
Fog,Rural Road,Hill Area,55,Night,Motorcycle,34.0,Maharashtra,Pune,Fatal
Clear,Highway,Wet,200,Night,Truck,41.0,Maharashtra,Pune,Fatal
Clear,Highway,Hill Area,100,Morning,Motorcycle,16.0,Maharashtra,Nagpur,Fatal
Fog,City Street,Potholes,30,Morning,Bus,33.0,Karnataka,Mysuru,Moderate
,Rural Road,Hill Area,90,Morning,Truck,,Maharashtra,Nagpur,Fatal
Snow,Highway,Wet,55,Night,Bus,45.0,Karnataka,Mangaluru,Fatal
Snow,Highway,Wet,200,Afternoon,Bus,43.0,Haryana,Yamunanagar,Fatal
Snow,Highway,Normal,80,Evening,Motorcycle,41.0,Delhi,West Delhi,Fatal
Clear,City Street,Normal,35,Morning,Motorcycle,25.0,Maharashtra,Nagpur,Moderate
Snow,City Street,Potholes,25,Evening,Motorcycle,16.0,Karnataka,Mysuru,Fatal
Rain,Highway,Potholes,220,Night,Bus,30.0,Karnataka,Bengaluru,Fatal
Clear,City Street,Normal,35,Morning,Bus,47.0,Uttar Pradesh,Auraiya,Minor
Clear,City Street,Normal,60,Evening,Motorcycle,51.0,Uttar Pradesh,Pratapgarh,Moderate
Rain,Highway,Hill Area,55,Afternoon,Truck,43.0,Karnataka,Hubli,Severe
Clear,Rural Road,Hill Area,35,Morning,Motorcycle,40.0,Uttar Pradesh,Ambedkar Nagar,Severe
Snow,City Street,Wet,30,Morning,Car,39.0,Delhi,North West Delhi,Moderate
Clear,Highway,Hill Area,80,Evening,Car,28.0,Delhi,South West Delhi,Fatal
Rain,Rural Road,Hill Area,45,Afternoon,Bus,33.0,Tamil Nadu,Chennai,Severe
Rain,Rural Road,Hill Area,90,Afternoon,Car,55.0,Tamil Nadu,Coimbatore,Fatal
Snow,City Street,Normal,30,Night,Bus,,Karnataka,Hubli,Severe
Rain,Rural Road,Normal,45,Afternoon,Motorcycle,54.0,Tamil Nadu,Chennai,Fatal
Rain,Rural Road,Hill Area,45,Night,Motorcycle,31.0,Karnataka,Mangaluru,Fatal
Snow,City Street,Normal,30,Evening,Bus,50.0,Uttar Pradesh,Sonbhadra,Minor
Fog,Rural Road,Hill Area,90,Night,Truck,18.0,Karnataka,Mangaluru,Fatal
Fog,City Street,Potholes,60,Evening,Truck,42.0,Maharashtra,Nashik,Moderate
Clear,City Street,Potholes,30,Night,Truck,26.0,Tamil Nadu,Madurai,Moderate
Snow,City Street,Hill Area,30,Night,Motorcycle,18.0,Uttar Pradesh,Bijnor,Fatal
Clear,Highway,Hill Area,150,Morning,Bus,37.0,Maharashtra,Nashik,Fatal
Clear,Highway,Wet,70,Afternoon,Truck,47.0,Haryana,Yamunanagar,Severe
,Rural Road,Hill Area,70,Afternoon,Truck,24.0,Delhi,North Delhi,Severe
Rain,City Street,Potholes,30,Morning,Bus,17.0,Uttar Pradesh,Azamgarh,Moderate
Fog,City Street,Potholes,35,Night,Truck,33.0,Delhi,North East Delhi,Severe
Fog,Rural Road,Potholes,70,Night,Bus,33.0,Uttar Pradesh,Kushinagar,Fatal
Clear,Highway,Potholes,150,Evening,Car,41.0,Uttar Pradesh,Basti,Fatal
Fog,City Street,Potholes,30,Evening,Truck,46.0,Karnataka,Mysuru,Moderate
,City Street,Hill Area,30,Morning,Motorcycle,34.0,Karnataka,Mangaluru,Fatal
Snow,Highway,Normal,220,Morning,Motorcycle,57.0,Haryana,Charkhi Dadri,Fatal
Fog,City Street,Hill Area,30,Morning,Motorcycle,37.0,Haryana,Bhiwani,Fatal
Clear,Rural Road,Normal,55,Evening,Car,30.0,Maharashtra,Nashik,Minor
Rain,Highway,Potholes,100,Evening,Car,16.0,Tamil Nadu,Chennai,Fatal
Rain,Highway,Hill Area,70,Night,Bus,31.0,Uttar Pradesh,Farrukhabad,Fatal
Clear,City Street,Wet,25,Afternoon,Truck,30.0,Tamil Nadu,Chennai,Moderate
Clear,Rural Road,Normal,45,Night,Car,46.0,Delhi,North West Delhi,Minor
Clear,Rural Road,Potholes,90,Evening,Bus,40.0,Uttar Pradesh,Hathras,Moderate
Snow,Rural Road,Normal,120,Evening,Truck,20.0,Karnataka,Bengaluru,Fatal
Snow,Rural Road,Hill Area,55,Morning,Car,37.0,Maharashtra,Pune,Severe
Clear,City Street,Normal,25,Night,Bus,43.0,Uttar Pradesh,Lakhimpur Kheri,Minor
Clear,City Street,Normal,45,Morning,Truck,53.0,Haryana,Faridabad,Minor
Snow,City Street,Wet,30,Night,Car,45.0,Maharashtra,Nashik,Severe
Clear,City Street,Wet,30,Morning,Truck,44.0,Karnataka,Mangaluru,Minor
Rain,City Street,Hill Area,30,Night,Motorcycle,,Karnataka,Bengaluru,Fatal
Rain,City Street,Normal,45,Night,Motorcycle,39.0,Maharashtra,Mumbai,Fatal
Snow,City Street,Potholes,45,Evening,Motorcycle,49.0,Haryana,Nuh,Severe
Clear,Rural Road,Wet,45,Night,Bus,19.0,Uttar Pradesh,Ayodhya,Severe
Snow,Highway,Normal,220,Morning,Motorcycle,30.0,Uttar Pradesh,Meerut,Fatal
Clear,City Street,Normal,30,Evening,Bus,25.0,Delhi,East Delhi,Minor
Clear,City Street,Hill Area,30,Afternoon,Truck,39.0,Haryana,Kurukshetra,Moderate
Rain,Highway,Potholes,120,Evening,Motorcycle,49.0,Uttar Pradesh,Varanasi,Fatal
Fog,City Street,Hill Area,30,Morning,Bus,27.0,Tamil Nadu,Madurai,Severe
Clear,Rural Road,Wet,70,Morning,Truck,16.0,Maharashtra,Pune,Severe
Fog,Rural Road,Potholes,45,Evening,Car,30.0,Tamil Nadu,Chennai,Severe
Snow,Highway,Normal,120,Evening,Motorcycle,45.0,Tamil Nadu,Chennai,Fatal
Clear,Rural Road,Wet,120,Afternoon,Motorcycle,41.0,Karnataka,Mangaluru,Fatal
Rain,City Street,Wet,80,Afternoon,Car,40.0,Maharashtra,Nashik,Severe
Snow,Highway,Hill Area,65,Morning,Car,31.0,Tamil Nadu,Madurai,Fatal
Snow,Highway,Hill Area,65,Night,Car,19.0,Uttar Pradesh,Bijnor,Fatal
Clear,Rural Road,Potholes,55,Night,Car,41.0,Delhi,New Delhi,Severe
Rain,Highway,Hill Area,120,Morning,Bus,24.0,Uttar Pradesh,Siddharthnagar,Fatal
Clear,City Street,Hill Area,60,Night,Motorcycle,61.0,Delhi,North West Delhi,Fatal
Fog,Rural Road,Wet,35,Afternoon,Car,41.0,Uttar Pradesh,Azamgarh,Moderate
Snow,Rural Road,Normal,35,Night,Truck,28.0,Haryana,Sonipat,Severe
,City Street,Potholes,80,Night,Car,27.0,Tamil Nadu,Madurai,Fatal
Clear,City Street,Potholes,60,Evening,Motorcycle,33.0,Haryana,Karnal,Moderate
Snow,City Street,Normal,60,Night,Bus,32.0,Maharashtra,Mumbai,Fatal
Fog,Highway,Normal,70,Night,Motorcycle,48.0,Karnataka,Mysuru,Fatal
Clear,Rural Road,Wet,120,Night,Car,37.0,Haryana,Sonipat,Fatal
Clear,Highway,Hill Area,80,Morning,Car,26.0,Delhi,South West Delhi,Fatal
Clear,Rural Road,Normal,120,Evening,Car,57.0,Tamil Nadu,Chennai,Fatal
Clear,Highway,Wet,70,Afternoon,Bus,35.0,Uttar Pradesh,Mahoba,Moderate
Snow,Rural Road,Hill Area,35,Night,Bus,44.0,Karnataka,Bengaluru,Fatal
Fog,Highway,Hill Area,120,Afternoon,Car,27.0,Delhi,South West Delhi,Fatal
Fog,City Street,Hill Area,80,Morning,Bus,39.0,Karnataka,Mysuru,Fatal
Snow,City Street,Normal,25,Afternoon,Truck,38.0,Delhi,North West Delhi,Minor
Snow,City Street,Wet,80,Night,Motorcycle,16.0,Uttar Pradesh,Shamli,Fatal
Snow,Highway,Normal,200,Night,Motorcycle,59.0,Delhi,Shahdara,Fatal
Fog,Rural Road,Hill Area,90,Afternoon,Motorcycle,50.0,Tamil Nadu,Chennai,Fatal
Clear,City Street,Hill Area,45,Evening,Bus,30.0,Maharashtra,Nashik,Moderate
Snow,Rural Road,Potholes,55,Evening,Truck,21.0,Tamil Nadu,Coimbatore,Moderate
Fog,Highway,Wet,80,Evening,Truck,39.0,Delhi,East Delhi,Fatal
Fog,City Street,Hill Area,25,Morning,Truck,36.0,Karnataka,Hubli,Severe
Fog,Rural Road,Wet,35,Afternoon,Motorcycle,39.0,Haryana,Yamunanagar,Severe
Clear,Highway,Hill Area,220,Afternoon,Car,37.0,Maharashtra,Nashik,Fatal
Fog,City Street,Wet,45,Afternoon,Motorcycle,41.0,Maharashtra,Pune,Fatal
Clear,Highway,Potholes,65,Night,Motorcycle,,Karnataka,Bengaluru,Fatal
Rain,City Street,Wet,30,Evening,Motorcycle,41.0,Delhi,South Delhi,Severe
Rain,Highway,Wet,220,Morning,Bus,22.0,Uttar Pradesh,Muzaffarnagar,Fatal
Snow,Highway,Wet,120,Evening,Bus,51.0,Maharashtra,Mumbai,Fatal
Fog,Rural Road,Hill Area,45,Night,Car,54.0,Karnataka,Mangaluru,Fatal
Rain,Rural Road,Potholes,45,Afternoon,Motorcycle,72.0,Uttar Pradesh,Jhansi,Severe
Rain,Rural Road,Normal,35,Morning,Motorcycle,21.0,Karnataka,Mangaluru,Moderate
Fog,Highway,Normal,150,Evening,Car,37.0,Uttar Pradesh,Etah,Fatal
Fog,Rural Road,Potholes,45,Night,Truck,16.0,Tamil Nadu,Madurai,Severe
Clear,City Street,Hill Area,35,Night,Car,41.0,Tamil Nadu,Madurai,Severe
Fog,Rural Road,Potholes,35,Afternoon,Motorcycle,28.0,Maharashtra,Mumbai,Fatal
Clear,City Street,Wet,35,Night,Bus,58.0,Maharashtra,Pune,Severe
Rain,Highway,Normal,65,Morning,Car,25.0,Tamil Nadu,Salem,Moderate
Rain,Rural Road,Wet,90,Evening,Bus,16.0,Maharashtra,Pune,Fatal
Clear,Highway,Normal,100,Evening,Bus,29.0,Delhi,North Delhi,Severe
Snow,City Street,Normal,45,Morning,Bus,16.0,Maharashtra,Pune,Moderate
Snow,City Street,Potholes,30,Evening,Bus,44.0,Haryana,Ambala,Moderate
Rain,City Street,Potholes,30,Night,Truck,16.0,Haryana,Yamunanagar,Severe
Clear,City Street,Normal,30,Night,Truck,35.0,Uttar Pradesh,Hathras,Moderate
Fog,City Street,Normal,80,Evening,Motorcycle,16.0,Karnataka,Bengaluru,Fatal
Fog,Highway,Wet,65,Morning,Car,31.0,Karnataka,Mangaluru,Fatal
Rain,City Street,Wet,80,Morning,Motorcycle,54.0,Uttar Pradesh,Bahraich,Fatal
Clear,Highway,Wet,150,Evening,Car,39.0,Karnataka,Mangaluru,Fatal
Fog,Rural Road,Normal,90,Evening,Bus,24.0,Maharashtra,Mumbai,Fatal
Snow,Highway,Wet,120,Afternoon,Truck,34.0,Karnataka,Hubli,Fatal
Rain,Rural Road,Potholes,90,Morning,Motorcycle,35.0,Karnataka,Mangaluru,Fatal
Fog,Rural Road,Normal,90,Evening,Bus,40.0,Tamil Nadu,Coimbatore,Moderate
Snow,Highway,Potholes,65,Afternoon,Truck,18.0,Delhi,South West Delhi,Fatal
Snow,Highway,Potholes,55,Morning,Motorcycle,42.0,Delhi,North East Delhi,Fatal
Rain,Rural Road,Potholes,55,Night,Truck,16.0,Tamil Nadu,Chennai,Fatal
Fog,City Street,Wet,25,Morning,Car,,Haryana,Ambala,Moderate
Snow,Highway,Wet,150,Morning,Motorcycle,29.0,Uttar Pradesh,Jaunpur,Fatal
Fog,City Street,Potholes,60,Morning,Truck,42.0,Karnataka,Mysuru,Minor
Rain,Rural Road,Hill Area,70,Night,Motorcycle,35.0,Tamil Nadu,Chennai,Fatal
Snow,Rural Road,Normal,90,Evening,Truck,18.0,Haryana,Faridabad,Severe
Clear,Highway,Wet,65,Morning,Motorcycle,23.0,Haryana,Hisar,Fatal
Fog,Rural Road,Wet,55,Afternoon,Motorcycle,37.0,Haryana,Rewari,Severe
Rain,Highway,Potholes,65,Night,Truck,,Karnataka,Hubli,Fatal
Rain,Highway,Wet,80,Evening,Truck,28.0,Maharashtra,Pune,Fatal
Fog,Highway,Hill Area,70,Night,Bus,29.0,Delhi,North East Delhi,Fatal
Fog,Rural Road,Hill Area,90,Night,Bus,43.0,Maharashtra,Mumbai,Fatal
Fog,Highway,Normal,70,Morning,Bus,28.0,Uttar Pradesh,Kanpur Nagar,Severe
Clear,Highway,Wet,55,Afternoon,Car,33.0,Maharashtra,Mumbai,Severe
Rain,City Street,Hill Area,45,Afternoon,Motorcycle,61.0,Maharashtra,Pune,Fatal
Snow,Highway,Hill Area,80,Afternoon,Truck,17.0,Karnataka,Hubli,Fatal
Rain,Highway,Normal,70,Afternoon,Truck,16.0,Karnataka,Mysuru,Severe
Fog,Rural Road,Normal,120,Night,Car,44.0,Maharashtra,Pune,Fatal
Snow,City Street,Wet,25,Morning,Motorcycle,26.0,Tamil Nadu,Coimbatore,Severe
Fog,Rural Road,Wet,55,Morning,Truck,31.0,Maharashtra,Pune,Severe
Clear,City Street,Normal,35,Night,Car,25.0,Karnataka,Hubli,Minor
Snow,Rural Road,Potholes,70,Night,Truck,31.0,Maharashtra,Nashik,Fatal
,Highway,Normal,65,Afternoon,Car,54.0,Maharashtra,Nagpur,Severe
Snow,Rural Road,Potholes,90,Evening,Truck,,Haryana,Kurukshetra,Severe
Snow,Highway,Wet,65,Afternoon,Car,45.0,Uttar Pradesh,Kannauj,Fatal
Snow,Highway,Hill Area,55,Afternoon,Motorcycle,18.0,Delhi,East Delhi,Fatal
Fog,City Street,Potholes,45,Morning,Truck,,Karnataka,Mysuru,Moderate
Clear,City Street,Normal,45,Evening,Car,16.0,Karnataka,Mysuru,Minor
Rain,Highway,Potholes,220,Afternoon,Bus,25.0,Uttar Pradesh,Rampur,Fatal
Clear,Rural Road,Wet,35,Afternoon,Truck,46.0,Uttar Pradesh,Siddharthnagar,Minor
Clear,City Street,Normal,80,Afternoon,Motorcycle,41.0,Maharashtra,Nashik,Severe
Rain,Highway,Normal,150,Afternoon,Bus,32.0,Uttar Pradesh,Jhansi,Fatal
Fog,Highway,Normal,80,Morning,Motorcycle,34.0,Tamil Nadu,Coimbatore,Fatal
Clear,Rural Road,Hill Area,120,Afternoon,Truck,26.0,Delhi,Shahdara,Fatal
Snow,Rural Road,Normal,90,Morning,Truck,37.0,Tamil Nadu,Chennai,Severe
Rain,Rural Road,Hill Area,120,Evening,Motorcycle,44.0,Uttar Pradesh,Ballia,Fatal
Clear,Highway,Normal,55,Afternoon,Motorcycle,16.0,Delhi,North East Delhi,Severe
Fog,Highway,Wet,220,Evening,Bus,38.0,Delhi,Shahdara,Fatal
Fog,Rural Road,Wet,35,Afternoon,Car,46.0,Maharashtra,Nashik,Moderate
Rain,Highway,Potholes,100,Afternoon,Motorcycle,30.0,Uttar Pradesh,Saharanpur,Fatal
Rain,City Street,Potholes,35,Afternoon,Car,,Delhi,Shahdara,Minor
Clear,Highway,Potholes,100,Night,Car,68.0,Delhi,Central Delhi,Fatal
Rain,Highway,Wet,100,Evening,Motorcycle,33.0,Maharashtra,Nashik,Fatal
